tweet_id,cust_text,human_groundedness,human_correctness,human_brand_voice,human_actionability,human_safety
demo_001,"locked out of my apple id and the recovery email doesn't even exist anymore, please help",,,,,
demo_003,"apple id disabled for security reasons with zero explanation, been locked out for 3 days now",,,,,
demo_010,"dropped my phone in water, does the warranty cover any of this",,,,,
demo_015,"received the wrong color airpods case, how do i get this fixed",,,,,
demo_025,"phone wont charge overnight anymore, plugged in all night and its at 40%",,,,,
demo_017,"wow apple support actually helped me today, didnt expect that honestly",,,,,
119241,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,,,,,
demo_008,"just a heads up my subscription renewed fine this month, all good thanks",,,,,
119259,@76099 @AppleSupport fix this update. It's horrible,,,,,
demo_023,"safari keeps freezing after the update, anyone else having this issue",,,,,
demo_019,just wanted to say thank you to the apple team that helped me yesterday,,,,,
demo_033,"phone bricked after update AND i was charged twice for the same app this week, nightmare",,,,,
demo_021,since the ios update my messages app keeps crashing every few minutes,,,,,
demo_006,"cancelled my subscription weeks ago and just got charged again, whats going on",,,,,
demo_005,"got charged twice for the same app store purchase, need this refunded asap",,,,,
demo_022,updated to the latest ios and now my phone is stuck on a black screen,,,,,
demo_029,why does my phone get so hot when im just texting someone,,,,,
demo_028,is there a way to transfer everything to a new device without losing photos,,,,,
119257,@AppleSupport I need a new code for my I-store. I haven't recd any but msg is too many sent. Help!,,,,,
119243,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",,,,,
demo_020,"apple is a joke at this point, nothing works right anymore, im so done",,,,,
demo_004,cant remember my apple id password and the reset link keeps saying invalid,,,,,
demo_009,"cracked my screen, is this covered under applecare or am i paying full price",,,,,
demo_018,great another update another reason to hate my phone love this company,,,,,
demo_012,screen repair cost me way more than i expected and now the same issue is back a week later,,,,,
119249,You've paralysed my phone with your update @76099 grrrrrrrrrr,,,,,
119263,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,,,,,
demo_032,"my account got hacked and now theres unauthorized charges everywhere, please help fast",,,,,
119251,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,,,,,
demo_024,my iphone battery is dying so fast since the update its unusable,,,,,
demo_030,"if this isnt fixed by tomorrow im calling my lawyer, this is unacceptable",,,,,
119261,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,,,,,
119237,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",,,,,
119253,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it's a disgrace - used to get 2 days,,,,,
demo_036,"my ipad won't update past ios 15 and apple says its not supported anymore, kind of annoyed ngl",,,,,
demo_026,battery health dropped to 79 percent in like two months what is going on,,,,,
demo_014,delivery was supposed to be yesterday still no update on where it is,,,,,
demo_034,k,,,,,
119255,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",,,,,
demo_031,"honestly this phone issue makes me want to hurt myself, i cant deal with this anymore",,,,,
