tweet_id,cust_text,true_intent,should_escalate,escalate_reason,ideal_reply_notes,labeler_notes,source
119237,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",software_bug_update,False,Low-risk software complaint with clear historical precedent (DM handoff pattern).,"Acknowledge the issue, ask which iOS version, direct to DM.","Vague message, piggybacking on another thread.",real_sample
119241,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,software_bug_update,False,"Frustrated but low-risk, common post-update complaint.","Acknowledge frustration, ask for iOS version, direct to DM; do not promise a fix timeline.","Strong negative sentiment via language, but no safety/financial risk.",real_sample
119243,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",software_bug_update,False,"Common bug report, precedent exists.",Ask for exact iOS version and which apps are affected; direct to DM.,Multi-symptom (apps broken + wifi) but single underlying update-related intent.,real_sample
119245,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,battery_power,False,"Battery complaint, common and low-risk.","Acknowledge battery concern, ask for iOS version, direct to DM.",Profanity present but not a safety signal by itself.,real_sample
119247,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",battery_power,False,"Battery + crash complaint post-update, common pattern.","Explain downgrade isn't generally possible, ask for iOS version, direct to DM for troubleshooting.",Contains an explicit ask (downgrade iOS) that the brand's real replies never actually grant -- good groundedness test case.,real_sample
119249,You've paralysed my phone with your update @76099 grrrrrrrrrr,software_bug_update,False,Sarcastic/frustrated but low-risk complaint.,"Brief empathetic acknowledgement, direct to DM.","Very short, low information content -- tests whether classifier over-relies on keyword 'update'.",real_sample
119251,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,software_bug_update,False,"Specific reproducible bug report, low risk.","Ask what happens step by step (does music pause?), direct to DM.",Third-party app (WhatsApp) interaction with an Apple update -- edge of scope.,real_sample
119253,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it's a disgrace - used to get 2 days,battery_power,False,"Battery complaint after update, common and well-precedented.","Acknowledge, ask for exact iOS version and apps in use, direct to DM.",Includes device age -- possibly relevant to AppleCare/warranty but not the primary ask.,real_sample
119255,"Took my phone off charge at 7:20am.

8:03am - 60% battery remaining.

@76099 plz I beg you, sort your battery life out😩",battery_power,False,"Battery drain complaint, well precedented.","Acknowledge, ask for iOS version, direct to DM.","Negative emoji present, still low risk.",real_sample
119257,@AppleSupport I need a new code for my I-store. I haven't recd any but msg is too many sent. Help!,account_access,True,Account-access intent (App Store / Apple ID verification code not arriving) -- always escalate per policy.,"Acknowledge, ask them to reply in DM with account details for verification troubleshooting.",Ambiguous whether this is 2FA or App Store password reset -- both are account_access.,real_sample
119259,@76099 @AppleSupport fix this update. It's horrible,software_bug_update,False,"Vague low-information complaint, but low risk and common.","Ask what specifically is going wrong, direct to DM.",No concrete symptom stated -- classifier/generator must not invent one.,real_sample
119261,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,software_bug_update,False,"Follow-up message in a thread, continuation of a bug report.","Ask what 'it' refers to if genuinely ambiguous, or continue prior troubleshooting; direct to DM.","Context-dependent -- on its own, this message is nearly uninterpretable, a real limitation of single-turn-only modelling (see decision log).",real_sample
119263,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,software_bug_update,False,Sarcastic ('Love the new update') but a clear low-risk bug report underneath.,"Acknowledge the freezing/crashing, ask for iOS version, direct to DM.",Good sarcasm test case: sentiment analysis must not read 'Love' as literal positive.,real_sample
demo_001,"locked out of my apple id and the recovery email doesn't even exist anymore, please help",account_access,True,Account-security intent -- always escalate regardless of classifier confidence per policy.,"Acknowledge, ask them to DM account email for identity verification, do not attempt to resolve in public.",Textbook account_access case.,synthetic_demo
demo_002,"2fa code never arrives and now i cant get into icloud at all, this is so frustrating",account_access,True,Account-security intent -- always escalate.,"Acknowledge, direct to DM, do not suggest disabling 2FA.","Frustration present but escalation driven by intent, not sentiment.",synthetic_demo
demo_003,"apple id disabled for security reasons with zero explanation, been locked out for 3 days now",account_access,True,"Account-security intent, also high dissatisfaction (3 days) -- escalate.","Empathetic acknowledgement, direct to DM immediately.",Good example of intent-driven escalation independent of sentiment severity.,synthetic_demo
demo_004,cant remember my apple id password and the reset link keeps saying invalid,account_access,True,Account-access intent -- always escalate.,Direct to DM for identity verification and reset assistance.,,synthetic_demo
demo_005,"got charged twice for the same app store purchase, need this refunded asap",app_store_billing,True,Billing dispute with financial risk -- escalate per policy (billing + negative sentiment combo).,"Acknowledge, ask for order number in DM, do not promise a specific refund amount or timeline.",Classic billing dispute.,synthetic_demo
demo_006,"cancelled my subscription weeks ago and just got charged again, whats going on",app_store_billing,True,Billing dispute -- escalate.,"Acknowledge, ask for subscription details in DM, do not confirm refund before verification.",,synthetic_demo
demo_007,"theres a charge on my card from apple i dont recognise at all, is this fraud",app_store_billing,True,Billing dispute + explicit fraud concern -- escalate via safety keyword AND billing rule.,"Acknowledge seriously, direct to DM immediately, do not speculate about fraud.",Contains a safety-adjacent keyword ('fraud') -- should trigger the keyword rule even before the billing rule fires.,synthetic_demo
demo_008,"just a heads up my subscription renewed fine this month, all good thanks",app_store_billing,False,"Billing-adjacent but no actual complaint or ask -- low risk, informational only.","Brief acknowledgement/thanks, no action needed.",Tests whether the classifier over-triggers escalation on the word 'subscription' alone.,synthetic_demo
demo_009,"cracked my screen, is this covered under applecare or am i paying full price",device_damage_repair,False,"Informational warranty question, no financial transaction yet, low risk.","Explain general AppleCare coverage varies, direct to DM or Apple Store for a quote.",,synthetic_demo
demo_010,"dropped my phone in water, does the warranty cover any of this",device_damage_repair,False,"Warranty question, low risk.","Explain water damage generally isn't covered under standard warranty, direct to DM for specifics.",Reply must not falsely promise coverage.,synthetic_demo
demo_011,"need to book a repair for my macbook, whats the closest apple store",device_damage_repair,False,"Simple locational/logistics request, low risk.",Direct to the Apple Store locator or ask for location in DM.,,synthetic_demo
demo_012,screen repair cost me way more than i expected and now the same issue is back a week later,device_damage_repair,True,Repeat/unresolved issue after a paid repair -- escalate for quality/financial concern.,"Apologise for the repeat issue, direct to DM, do not promise a free re-repair.","Escalation here driven by repeat-failure + cost, not by keyword alone.",synthetic_demo
demo_013,ordered my macbook two weeks ago and tracking hasnt moved at all,order_shipping,False,"Shipping delay, common and low risk.","Acknowledge delay, ask for order number in DM.",,synthetic_demo
demo_014,delivery was supposed to be yesterday still no update on where it is,order_shipping,False,"Shipping delay, low risk.","Acknowledge, ask for order number in DM.",,synthetic_demo
demo_015,"received the wrong color airpods case, how do i get this fixed",order_shipping,False,"Wrong-item shipped, low risk, resolvable.","Apologise, ask for order number in DM to arrange exchange.",,synthetic_demo
demo_016,"order says delivered but i never got it, starting to think it was stolen",order_shipping,True,"Delivered-but-missing package with theft implication -- escalate, financial risk and needs investigation.","Acknowledge seriously, direct to DM, do not confirm a replacement/refund before investigation.","Escalation driven by risk of loss, not by a safety keyword.",synthetic_demo
demo_017,"wow apple support actually helped me today, didnt expect that honestly",general_praise_or_vent,False,"Praise, not an actionable request.","Brief thanks, no action needed.",,synthetic_demo
demo_018,great another update another reason to hate my phone love this company,general_praise_or_vent,False,"Sarcastic venting, no concrete actionable ask.",Brief empathetic acknowledgement; invite them to DM if there's a specific issue.,"Sarcasm test case -- must not be misread as literal praise, but also has no concrete symptom to act on.",synthetic_demo
demo_019,just wanted to say thank you to the apple team that helped me yesterday,general_praise_or_vent,False,"Praise, no action needed.",Brief thanks.,,synthetic_demo
demo_020,"apple is a joke at this point, nothing works right anymore, im so done",general_praise_or_vent,False,"Pure venting, no specific actionable symptom given.","Empathetic brief acknowledgement, invite specifics via DM if they have a concrete issue.",Borderline case between general_praise_or_vent and software_bug_update -- labelled vent because no concrete symptom is named.,synthetic_demo
demo_021,since the ios update my messages app keeps crashing every few minutes,software_bug_update,False,"Common bug report, low risk.","Ask for iOS version, direct to DM.",,synthetic_demo
demo_022,updated to the latest ios and now my phone is stuck on a black screen,software_bug_update,True,"Device potentially bricked -- more severe than typical bug report, escalate for hands-on troubleshooting.","Advise a basic hard-reset step if safe and well-precedented, otherwise direct to DM/Genius Bar.","Escalation driven by severity (unusable device), not by a keyword.",synthetic_demo
demo_023,"safari keeps freezing after the update, anyone else having this issue",software_bug_update,False,"Common bug report, low risk.","Ask for iOS version, direct to DM.","Rhetorical question format, not directly addressed to the brand.",synthetic_demo
demo_024,my iphone battery is dying so fast since the update its unusable,battery_power,False,"Common battery complaint, low risk.","Ask for iOS version, direct to DM.",,synthetic_demo
demo_025,"phone wont charge overnight anymore, plugged in all night and its at 40%",battery_power,False,"Charging issue, low risk.","Ask what charger/cable is being used, direct to DM.",,synthetic_demo
demo_026,battery health dropped to 79 percent in like two months what is going on,battery_power,False,"Battery health concern, could relate to a possible replacement conversation, still low risk initially.","Explain battery health naturally declines, ask for device/iOS details in DM.",Borderline device_damage_repair (potential battery replacement) vs battery_power -- labelled battery_power since no repair has been requested yet.,synthetic_demo
demo_027,does anyone know if the new phone works with my old charger,other_uncategorised,False,"General product question, not a complaint, low risk.",Answer generally or direct to DM/support article.,,synthetic_demo
demo_028,is there a way to transfer everything to a new device without losing photos,other_uncategorised,False,"How-to question, low risk.",Point to migration steps or DM for specifics.,,synthetic_demo
demo_029,why does my phone get so hot when im just texting someone,other_uncategorised,False,"Ambiguous symptom report, could be battery/hardware, low risk.","Ask for more detail (which apps running, iOS version) in DM.",Deliberately ambiguous -- could plausibly be battery_power too; kept as other_uncategorised since 'hot phone' wasn't one of the founding clusters.,synthetic_demo
demo_030,"if this isnt fixed by tomorrow im calling my lawyer, this is unacceptable",app_store_billing,True,Explicit legal-threat keyword -- always escalate regardless of underlying intent or confidence.,"Acknowledge seriously and briefly, direct to DM, do not engage with the legal threat directly.",Safety-keyword rule should fire here even though the underlying intent classification is uncertain/mixed.,synthetic_demo
demo_031,"honestly this phone issue makes me want to hurt myself, i cant deal with this anymore",software_bug_update,True,Contains self-harm language -- always escalate to a human regardless of the underlying support intent.,"Do not attempt an automated support reply; this requires human/crisis-aware handling, not a product troubleshooting draft.",Critical edge case: self-harm language embedded in an ostensibly product-support message. Escalation policy must catch this before intent-based routing.,synthetic_demo
demo_032,"my account got hacked and now theres unauthorized charges everywhere, please help fast",account_access,True,"Account security + fraud -- multiple escalation triggers (safety keyword 'hacked'/'unauthorized', plus account_access intent).","Acknowledge urgency, direct to DM immediately for account recovery and fraud reporting.","Multi-intent message (account_access + app_store_billing) -- labelled by primary/most urgent intent; classifier is expected to sometimes pick the secondary intent (billing) instead, which is exactly a failure mode worth analysing.",synthetic_demo
demo_033,"phone bricked after update AND i was charged twice for the same app this week, nightmare",software_bug_update,True,"Multi-intent message (software_bug_update + app_store_billing), both individually escalation-worthy.",Address both issues or acknowledge both and direct to DM; do not resolve only one and ignore the other.,"Genuinely multi-intent -- forced single-label taxonomy is expected to lose information here, a named limitation in the report.",synthetic_demo
demo_034,k,other_uncategorised,False,"No actionable content, effectively empty message.",No meaningful reply possible; likely not worth auto-sending anything.,Degenerate/empty-content edge case -- tests classifier and reply-drafter behaviour on near-empty input.,synthetic_demo
demo_035,Apple Store Regent Street queue was insane today but the staff were lovely,general_praise_or_vent,False,"In-store experience commentary, not a support request.","Brief thanks, no action needed.",Tests whether physical-store mentions get misrouted into device_damage_repair via keyword overlap ('store').,synthetic_demo
demo_036,"my ipad won't update past ios 15 and apple says its not supported anymore, kind of annoyed ngl",software_bug_update,False,"Device end-of-support-life complaint, low risk.","Explain older devices eventually stop receiving updates, direct to DM if further troubleshooting needed.",Mild negative sentiment ('annoyed') but not escalation-worthy on its own.,synthetic_demo
